医院名,住所,郵便番号,評価,口コミ件数,Google Maps URL,公式ウェブサイト,都道府県,診療科目
松尾歯科･おとなこども矯正歯科,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,039-1536,4.7,149,https://maps.google.com/?cid=28218853782371339&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.matsuo-dc.info/,青森県,小児歯科
のへじ矯正小児歯科,日本、〒039-3141 青森県上北郡野辺地町鳴沢３６−１,039-3141,4.5,56,https://maps.google.com/?cid=13360236793723995637&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://noheji.kamiden.net/,青森県,小児歯科
かみきたデンタルクリニック,日本、〒039-2406 青森県上北郡東北町旭北１丁目３１−９０,039-2406,4.4,219,https://maps.google.com/?cid=12861001954703120818&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://kamikita-ortho.com/,青森県,小児歯科
たなべ歯科・矯正歯科医院,日本、〒033-0033 青森県三沢市美野原１丁目２ 13番地2号,033-0033,4,73,https://maps.google.com/?cid=5747194597688233852&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.tanabedc.jp/,青森県,矯正歯科
小林歯科医院,日本、〒037-0055 青森県五所川原市柏原町５０,037-0055,4.3,83,https://maps.google.com/?cid=4545911626942355936&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.kobayashi-dentistry.com/,青森県,矯正歯科
八戸総合歯科・矯正歯科,日本、〒039-1166 青森県八戸市根城９丁目４−７,039-1166,4.5,118,https://maps.google.com/?cid=9993903871520938744&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.n-yoshida.jp/,青森県,矯正歯科
盛岡となん歯科･こども矯正歯科,日本、〒020-0831 岩手県盛岡市三本柳７地割13番8号,020-0831,4.9,262,https://maps.google.com/?cid=5972186405453112528&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://tonandc.com/,岩手県,小児歯科
ゆいとぴあ歯科医院,日本、〒020-0866 岩手県盛岡市本宮６丁目１１−１０,020-0866,4.5,119,https://maps.google.com/?cid=1394409681404232714&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.yuitopia-dc.com/,岩手県,小児歯科
村井産婦人科小児歯科医院,日本、〒020-0851 岩手県盛岡市向中野道明55,020-0851,4.1,147,https://maps.google.com/?cid=4371269780495001218&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://murai-clinic.net/,岩手県,小児歯科
なごみ矯正・デンタルクリニック,日本、〒020-0148 岩手県盛岡市前潟４丁目７−１ イオンモール盛岡 1F,020-0148,4.8,72,https://maps.google.com/?cid=14974744257578737500&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.nagomi-dentalclinic.jp/,岩手県,小児歯科
ざいもくちょう歯科,日本、〒020-0063 岩手県盛岡市材木町９−１,020-0063,4.6,184,https://maps.google.com/?cid=12597058799956006325&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://zmt-dc.com/,岩手県,小児歯科
泉中央おとなこども歯科・矯正歯科,日本、〒981-3133 宮城県仙台市泉区泉中央３丁目２−１ ルーセント21 1F,981-3133,4.7,153,https://maps.google.com/?cid=1716779732405261497&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://izumiokdc.hp.peraichi.com/,宮城県,小児歯科
仙台おとなこども歯科 矯正歯科,日本、〒983-0803 宮城県仙台市宮城野区小田原２丁目２−５２,983-0803,4.2,97,https://maps.google.com/?cid=14065421408404174398&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://sendaiotonakodomo-dental.com/,宮城県,小児歯科
上杉おとなこども歯科・矯正歯科,日本、〒980-0011 宮城県仙台市青葉区上杉３丁目２−２８,980-0011,4.5,58,https://maps.google.com/?cid=15039024459609396445&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://kamisugi-otonakodomo.com/,宮城県,小児歯科
利府なのはなデンタルクリニック,日本、〒981-0131 宮城県宮城郡利府町青山２丁目2番2 ビッグ利府青山店敷地内,981-0131,4.4,52,https://maps.google.com/?cid=2316280353027469437&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://nanohana-dc-lp.com/,宮城県,小児歯科
坂井おとなこども歯科,日本、〒986-0815 宮城県石巻市中里３丁目１−１１,986-0815,4.6,58,https://maps.google.com/?cid=13524468580126548886&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://sakaiclinic.or.jp/,宮城県,小児歯科
たがじょうグリーン歯科,日本、〒985-0835 宮城県多賀城市下馬５丁目８−６,985-0835,4.2,102,https://maps.google.com/?cid=17323836985701445193&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.tagajogreen.jp/,宮城県,小児歯科
仙台つつじがおか歯科,日本、〒983-0852 宮城県仙台市宮城野区榴岡３丁目２−１ TLRレジデンス仙台 東 2F,983-0852,4.4,155,https://maps.google.com/?cid=13492242856688497687&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://sendai-tsutsuji.com/,宮城県,小児歯科
クニデンタルクリニック,日本、〒981-3111 宮城県仙台市泉区松森新田１８２,981-3111,4.5,50,https://maps.google.com/?cid=2381617320968839697&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,宮城県,小児歯科
仙台リボン歯科・矯正歯科 インプラント,日本、〒980-0811 宮城県仙台市青葉区一番町３丁目６−１ 一番町平和ビル 3F,980-0811,4.7,463,https://maps.google.com/?cid=5744678325415213286&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://ribon-shika.jp/sendai/,宮城県,矯正歯科
くぼた矯正歯科クリニック,日本、〒983-0039 宮城県仙台市宮城野区新田東２丁目１４−６ クランジュールマンション小鶴新田 1F,983-0039,5,111,https://maps.google.com/?cid=3053041449656196643&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://kubota5888.com/?utm_source=Google&utm_medium=referral&utm_campaign=lcid_12908639379252172924,宮城県,矯正歯科
仙台青葉矯正歯科クリニック,日本、〒980-0811 宮城県仙台市青葉区一番町３丁目１−１８ しまぬきビル ２F,980-0811,4.5,168,https://maps.google.com/?cid=8377368347098841693&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://dd-dentalclinic.jp/lp/ddd/lp01/?ads=a-ahd_p-orthodontics_s-google_m-maps_o-reserve_d-organicfeed_sendaic-cv_1&utm_source=google&utm_medium=maps&utm_campaign=a-ahd_p-orthodontics_s-google_m-maps_o-reserve_d-organicfeed_sendaic-cv_1,宮城県,矯正歯科
仙台東口矯正歯科,日本、〒983-0864 宮城県仙台市宮城野区名掛丁205−５ 1F,983-0864,4.3,83,https://maps.google.com/?cid=2342125069579283938&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.sendai-ortho.com/,宮城県,矯正歯科
仙台キュア矯正歯科,日本、〒980-0021 宮城県仙台市青葉区中央２丁目１１−28番地 りんくすビル ６階,980-0021,4.6,67,https://maps.google.com/?cid=8558229375578704157&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://sendai-cure.jp/?utm_source=google&utm_medium=map,宮城県,矯正歯科
懸田歯科医院,日本、〒980-0014 宮城県仙台市青葉区本町１丁目２−１６,980-0014,4.5,116,https://maps.google.com/?cid=4243914406663660860&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.kaketa.com/?utm_source=google&utm_medium=maps,宮城県,矯正歯科
クローバーデンタル,日本、〒010-0877 秋田県秋田市千秋矢留町６−３０ トーカン千秋鷹匠橋 １F,010-0877,3.9,92,https://maps.google.com/?cid=7881165610981089608&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.cloverdental.com/,秋田県,小児歯科
むさしデンタルオフィス,日本、〒010-0912 秋田県秋田市保戸野通町４−８ 小山田ビル,010-0912,4.7,79,https://maps.google.com/?cid=13763307537718860390&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.musashi-dent.jp/,秋田県,小児歯科
