スコア,医院名,医院長名,郵便番号,住所,基礎評価,来院患者数,子ども対応力,Web積極性,医院規模,ブログ活動,営業時間,ブログ更新日,電話番号,WebサイトURL,評価,レビュー件数,診療科目タグ,写真枚数,SNS連携,子ども対応力スコア,Google Maps URL
80,ごとう歯科･矯正歯科クリニック,,,日本、〒990-0047 山形県山形市旅篭町３丁目３−４５,10,15,30,5,20,0,月-土 9:00-18:00,,023-642-1818,https://www.goto-smile.com/,4.3,150,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
80,南館歯科クリニック・矯正歯科,,,日本、〒990-2461 山形県山形市南館３丁目２１−１,10,15,30,5,20,0,月-土 9:00-18:00,,023-644-0018,https://www.minamidate-dental.com/,4.6,103,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
70,米沢ファミリー歯科・矯正歯科,,,日本、〒992-0037 山形県米沢市本町３丁目１−４３ 矯正歯科 インビザライン マウスピース矯正,10,10,30,5,15,0,月-土 9:00-18:00,,0238-21-5533,http://www.yonezawafamily.jp/,4.6,77,"dentist,establishment,health,point_of_interest",6,,30,https://maps.google.com/?cid=
70,ぷらす矯正歯科,,,日本、〒998-0034 山形県酒田市中央西町１−６０,10,5,30,5,20,0,月-土 9:00-18:00,,0234-26-1588,http://www.plus-orthodont.com/?utm_source=google&utm_medium=map,4,33,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
65,大仙ファミリー歯科・矯正歯科,,,日本、〒014-0021 秋田県大仙市福田町２２−２３−７ イオンタウン大曲福田ショッピングセンタ 内,10,0,30,5,20,0,月-土 9:00-18:00,,0187-63-7803,https://daisen-f-dental.com/,5,3,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
65,YGT矯正歯科クリニック,,,日本、〒990-0056 山形県山形市錦町１２−２４,10,0,30,5,20,0,月-土 9:00-18:00,,023-616-6588,https://www.ygt-ortho.com/?utm_source=Google&utm_medium=map,5,7,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
60,華らび矯正歯科,,,日本、〒992-0012 山形県米沢市金池６丁目８−５２,10,0,30,5,15,0,月-土 9:00-18:00,,0238-40-8762,http://www.hanalab-ortho.com/,5,1,"dentist,establishment,health,point_of_interest",8,,30,https://maps.google.com/?cid=
60,けい歯科・矯正歯科クリニック,,,日本、〒994-0028 山形県天童市鍬ノ町１丁目１−２１,0,5,30,5,20,0,月-土 9:00-18:00,,023-651-4618,http://www.kei-shika.com/,3.5,26,"dentist,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
55,あんどう矯正歯科クリニック,,,日本、〒010-0003 秋田県秋田市東通４丁目４−１８,0,0,30,5,20,0,月-土 9:00-18:00,,018-837-6480,http://ando-dc.or.jp/,3.2,13,"dentist,doctor,establishment,health,point_of_interest",10,,30,https://maps.google.com/?cid=
55,山内歯科矯正歯科,,,日本、〒010-0001 秋田県秋田市中通３丁目１−７,10,0,30,5,10,0,月-土 9:00-18:00,,018-832-5252,https://yama-ortho.info/,4,9,"establishment,health,point_of_interest",2,,30,https://maps.google.com/?cid=
