filename,had_quality_section,sources_added,improvement_estimate
grant_mcconnaughey,yes,0,0
greg_isenberg,yes,0,0
hahnbee_lee,no,8,21
harry_dry,no,8,25
hassan_el_mghari,no,5,21
ikehaya,yes,0,0
jack_butcher,no,6,15
jack_friks,no,5,22
james_clear,no,6,15
james_scholz,no,8,23
jasmin_alic,no,6,16
jason_chin,no,7,19
jason_fried,no,8,16
jenna_kutcher,no,6,21
jim_raptis,no,5,16
john_rush,no,5,18
jon_yongfook,no,5,23
justin_welsh,no,6,22
kazuki_nakayashiki,no,8,15
kensu,yes,0,0
kp,no,7,18
kunal_shah,yes,0,0
kushank_aggarwal,no,6,25
laura_belgray,no,5,17
leila_hormozi,no,5,24
lenny_rachitsky,no,5,16
lynne_tye,no,8,23
