filename,had_cross_reference,app_id,newsletter_id,improvement
NL_CASE_P1_017_compounding_quality.md,no,none,none,added
NL_CASE_P1_018_product_hunt_daily.md,no,none,none,added
NL_CASE_P1_019_sparkloop.md,no,none,none,added
NL_CASE_P1_020_newsletter_operator.md,no,none,none,added
NL_CASE_P2_001_milk_road.md,yes,existing,existing,none
NL_CASE_P2_002_the_hustle.md,yes,existing,existing,none
NL_MARKET_001_2025_trends.md,yes,existing,existing,none
NL_OVERSEAS_001_32billion_yen.md,yes,existing,existing,none
NL_OVERSEAS_001_international.md,yes,existing,existing,none
NL_OVERSEAS_002_lawyer_to_4billion.md,yes,existing,existing,none
NL_OVERSEAS_003_solo_26billion.md,yes,existing,existing,none
NL_OVERSEAS_004_ai_2billion.md,yes,existing,existing,none
NL_OVERSEAS_005_street_culture.md,yes,existing,existing,none
NL_OVERSEAS_006_parenting_86m.md,yes,existing,existing,none
