filename,had_cross_reference,app_id,newsletter_id,improvement
case_studies/sebastian_ruhl/sns_analysis.md,no,none,none,Added cross_reference
case_studies/shaan_puri/sns_analysis.md,no,none,NL_CASE_P1_005_milk_road,Added cross_reference
case_studies/siyabend_ozdemir/sns_analysis.md,no,APP_036,none,Added cross_reference
case_studies/sorin_alupoaie/sns_analysis.md,no,APP_054,none,Added cross_reference
case_studies/steph_smith/sns_analysis.md,no,APP_101,none,Added cross_reference
case_studies/steven_bartlett/sns_analysis.md,no,none,NL_CASE_P1_020_newsletter_operator,Added cross_reference
case_studies/steven_cravotta/sns_analysis.md,no,APP_053,none,Added cross_reference
case_studies/sujan_patel/sns_analysis.md,no,none,none,Added cross_reference
case_studies/sumit_kumar/sns_analysis.md,no,APP_059,none,Added cross_reference
case_studies/sunny_lenarduzzi/sns_analysis.md,no,none,none,Added cross_reference
case_studies/sylvia_nguyen/sns_analysis.md,yes,APP_034,none,Updated cross_reference
case_studies/tiago_forte/sns_analysis.md,yes,none,none,Updated cross_reference
