filename,fact_check,sources_count,last_verified,revenue_data,japan_score,tags_completeness,product_info,subject_complete,total,rank
082_samuel_rondot.md,30,0,5,15,10,10,10,5,85,B
083_pieter_levels_ai.md,0,0,0,15,0,0,10,0,25,F
084_dmytro_krasun.md,0,0,0,15,0,0,10,0,25,F
085_marc_lou_shipfast.md,0,0,0,15,0,0,10,0,25,F
086_josh_mohrer.md,30,15,5,15,10,10,10,5,100,A
087_aj_carrd.md,30,15,5,15,10,10,10,5,100,A
088_justin_welsh.md,30,15,5,15,10,10,10,5,100,A
089_david_bressler.md,30,15,5,15,10,10,10,5,100,A
090_dustin_stout.md,30,15,5,15,10,10,10,5,100,A
091_tim_bennetto.md,30,15,5,15,10,10,10,5,100,A
092_sahil_bloom.md,30,15,5,15,10,10,10,5,100,A
093_rik_schennink.md,30,15,5,15,10,10,10,5,100,A
094_marie_poulin.md,30,15,5,15,10,10,10,5,100,A
095_rashid_khasanov.md,30,15,5,15,0,10,10,5,90,A
096_andy_cloke.md,30,15,5,15,10,10,10,5,100,A
097_leo_baecker.md,30,15,5,15,10,10,10,5,100,A
098_dan_kulkov.md,30,15,5,15,10,10,10,5,100,A
099_pete_codes.md,30,15,5,15,10,10,10,5,100,A
100_ben_tossell.md,30,15,5,15,10,10,10,5,100,A
101_steph_smith.md,30,15,5,0,10,10,10,5,85,B
102_adriaan_van_rossum.md,30,15,5,15,10,10,10,5,100,A
103_charlie_clark.md,30,15,5,15,10,10,10,5,100,A
104_samuel_rondot.md,30,15,5,15,10,10,10,5,100,A
105_lukas_hermann.md,30,15,5,15,10,10,10,5,100,A
106_sebastian_roehl.md,30,15,5,15,10,10,10,5,100,A
107_justin_duke.md,30,15,5,15,10,10,10,5,100,A
108_nevo_david.md,30,15,5,15,10,10,10,5,100,A
109_angus_cheng.md,30,15,5,15,10,10,10,5,100,A
110_francois_mommens.md,30,15,5,15,10,10,10,5,100,A
111_steve_ridout.md,30,15,5,15,10,10,10,5,100,A
112_kevin_conti.md,30,15,5,15,10,10,10,5,100,A
113_joseph_setter_ai.md,30,15,5,15,10,10,10,5,100,A
114_chris_poka.md,30,15,5,15,10,10,10,5,100,A
115_tyler_tringas.md,30,15,5,15,10,10,10,5,100,A
116_josh_pigford.md,30,15,5,15,10,10,10,5,100,A
117_cory_zue.md,30,15,5,15,10,10,10,5,100,A
118_kelechi_onyeama.md,30,15,5,15,10,10,10,5,100,A
119_richard_wang.md,30,15,5,15,10,10,10,5,100,A
120_andrew_fennell.md,30,15,5,15,10,10,10,5,100,A
121_tim_stodz.md,30,15,5,15,10,10,10,5,100,A
122_bhanu_teja.md,30,15,5,15,10,10,10,5,100,A
123_jk_molina.md,30,15,5,15,10,10,10,5,100,A
124_marc_zeitz.md,30,15,5,15,10,10,10,5,100,A
125_aurelien_amacker.md,30,15,5,15,10,10,10,5,100,A
126_adam_wathan.md,30,15,5,15,10,10,10,5,100,A
127_marko_saric.md,30,15,5,15,10,10,10,5,100,A
128_marie_martens.md,30,15,5,15,10,10,10,5,100,A
129_fabrizio_rinaldi.md,30,15,5,15,10,10,10,5,100,A
130_nathan_barry.md,30,15,5,15,10,10,10,5,100,A
131_jordan_oconnor.md,30,15,5,15,10,10,10,5,100,A
