filename,had_quality_section,sources_added,improvement_estimate
documents/03_SNS/case_studies/ryuken/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/saeed_ezzati/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/sahil_bloom/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/sahil_lavingia/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/sam_parr/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/sean_mccabe/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/sebastian_ruhl/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/seiya/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/shaan_puri/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/siyabend_ozdemir/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/sorin_alupoaie/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/steph_smith/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/steven_bartlett/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/steven_cravotta/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/sujan_patel/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/sumit_kumar/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/sunny_lenarduzzi/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/sylvia_nguyen/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/takuya_matsuyama/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/tiago_forte/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/tibo_louis_lucas/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/tim_ferriss/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/tony_dinh/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/umatan/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/vanessa_lau/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/wes_kao/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/wesley_tian/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/wilson/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/yasser_elsaid/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/yoni_smolyar/sns_analysis.md,no,yes,15
documents/03_SNS/case_studies/yuki_sako/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/yukos/sns_analysis.md,yes,no,0
documents/03_SNS/case_studies/zach_yadegari/sns_analysis.md,no,yes,15
