filename,had_quality_section,sources_added,improvement_estimate
046_alexander_theuma/sns_analysis.md,yes,0,0
047_noah_kagan/sns_analysis.md,yes,0,0
048_alex_slater/sns_analysis.md,yes,0,0
049_colin_mcintosh/sns_analysis.md,yes,0,0
052_colin_gray/sns_analysis.md,yes,0,0
054_kelechi_onyeama/sns_analysis.md,yes,0,0
055_dmytro_krasun/sns_analysis.md,yes,0,0
056_julien_nahum/sns_analysis.md,yes,0,0
057_mac_martine/sns_analysis.md,yes,0,0
058_sorin_alupoaie/sns_analysis.md,yes,0,0
059_alexander_belogubov/sns_analysis.md,yes,0,0
060_ivan_kutskir/sns_analysis.md,yes,0,0
case_studies/desmond/sns_analysis.md,yes,0,0
case_studies/dharmesh_shah/sns_analysis.md,no,7,90
case_studies/dhh/sns_analysis.md,no,7,90
case_studies/dickie_bush/sns_analysis.md,no,7,90
case_studies/diego_roshardt/sns_analysis.md,yes,0,0
case_studies/elise_darma/sns_analysis.md,no,7,90
case_studies/florin_pop/sns_analysis.md,no,7,90
case_studies/gary_vaynerchuk/sns_analysis.md,yes,0,0
case_studies/gil_hildebrand/sns_analysis.md,no,7,90
case_studies/graham_stephan/sns_analysis.md,yes,0,0
case_studies/grant_mcconnaughey/sns_analysis.md,yes,0,0
case_studies/greg_isenberg/sns_analysis.md,yes,0,0
case_studies/hahnbee_lee/sns_analysis.md,yes,0,0
case_studies/harry_dry/sns_analysis.md,yes,0,0
case_studies/hassan_el_mghari/sns_analysis.md,yes,0,0
