date,open,high,low,close,volume
2020-01-01,40118.1,40310.5,40114.45,40299.14,356388
2020-01-02,40170.38,40295.11,39180.23,40215.65,405923
2020-01-03,40547.32,40612.47,40015.41,40608.26,259465
2020-01-06,41469.44,41958.93,41258.87,41546.65,272999
2020-01-07,41412.16,41438.86,40583.12,41400.99,275804
2020-01-08,41314.28,41642.02,41033.01,41255.84,360080
2020-01-09,41973.89,42334.95,41348.17,42244.78,123265
2020-01-10,42613.46,42909.5,42456.97,42733.89,140418
2020-01-13,42284.06,42598.73,42212.0,42434.01,303768
2020-01-14,42452.57,43171.11,42240.51,42780.77,270433
2020-01-15,42970.58,43557.94,42388.93,42484.42,247103
2020-01-16,42443.44,42577.83,41817.97,42188.66,104412
2020-01-17,42503.42,42748.46,41244.96,42342.06,107676
2020-01-20,41321.7,41650.81,41099.36,41144.15,186080
2020-01-21,39869.0,40099.38,39638.04,40093.25,143894
2020-01-22,39366.86,40575.71,38897.19,39756.51,229870
2020-01-23,39149.23,39224.79,38479.1,39157.07,250355
2020-01-24,39170.0,40237.66,39058.41,39342.08,482133
2020-01-27,38850.05,39109.99,38406.28,38809.86,375253
2020-01-28,37692.54,38150.88,37659.24,37996.34,354880
2020-01-29,39019.86,39309.43,38724.68,38840.93,354667
2020-01-30,38585.65,38774.8,38125.98,38709.61,394973
2020-01-31,38760.99,39541.4,38695.94,38748.84,116669
2020-02-03,37974.46,38147.17,37625.14,37929.52,218614
2020-02-04,37865.37,38319.91,37373.93,37621.06,364548
2020-02-05,37598.65,37848.03,37492.42,37683.7,405749
2020-02-06,36907.59,37407.61,36628.28,37038.68,349865
2020-02-07,37014.72,37435.16,36910.64,37248.0,409853
2020-02-10,36743.08,37082.21,35947.59,36913.92,116780
2020-02-11,37020.25,37686.35,36478.66,36752.76,362591
2020-02-12,36530.61,36663.93,36116.88,36422.54,471233
2020-02-13,37337.33,37928.53,36688.51,37448.7,345175
2020-02-14,37076.46,37523.96,36973.83,37441.12,454769
2020-02-17,36604.77,37188.23,36493.44,36851.78,438605
2020-02-18,37358.88,37421.31,37203.85,37309.28,402016
2020-02-19,36854.57,36906.18,36306.75,36632.26,362464
2020-02-20,36882.15,36948.92,36270.66,36747.21,493867
2020-02-21,35665.91,35713.39,35376.05,35682.74,185404
2020-02-24,35079.95,35514.34,34971.44,34978.88,393120
2020-02-25,35485.84,35867.47,34416.05,35082.32,326008
2020-02-26,35487.0,35754.34,35337.88,35473.09,354516
2020-02-27,35453.72,35734.42,35364.92,35564.39,198671
2020-02-28,35499.27,35576.96,35197.34,35502.75,420028
2020-03-02,35388.82,35884.45,35088.35,35342.76,175209
2020-03-03,34817.57,35234.21,34356.78,34567.56,321690
2020-03-04,33948.42,34574.64,33794.23,34196.32,450660
2020-03-05,33821.56,34547.35,33686.39,33960.85,454478
2020-03-06,34210.58,35006.44,33635.46,34503.66,101287
2020-03-09,34551.74,35211.09,34115.5,34681.96,417678
2020-03-10,33807.38,34089.93,33028.89,33776.79,125941
2020-03-11,33891.16,34464.81,33211.27,33941.39,324264
2020-03-12,34021.09,34346.48,33535.06,33745.9,430019
2020-03-13,33543.26,33817.71,33403.86,33404.99,123420
2020-03-16,33901.0,34121.1,33393.35,33712.89,306907
2020-03-17,34355.07,34747.3,34172.01,34238.32,231277
2020-03-18,34573.56,34766.91,34407.59,34719.95,394265
2020-03-19,34051.55,34636.78,33420.2,34285.63,354470
2020-03-20,34067.32,34216.27,33676.43,34126.97,253533
2020-03-23,34244.8,34943.33,33716.32,34296.97,173790
2020-03-24,34557.03,35211.28,34374.65,34802.54,307231
2020-03-25,34686.56,34798.66,34502.28,34553.29,203718
2020-03-26,34635.16,34702.68,34330.1,34457.19,421057
2020-03-27,33958.17,34355.46,32916.68,33890.09,153391
2020-03-30,33321.66,33447.76,32331.65,33287.42,391803
2020-03-31,33668.5,33898.53,33510.67,33695.61,344090
2020-04-01,34456.09,34653.67,34266.56,34388.12,127583
2020-04-02,34371.86,34406.29,34281.03,34350.99,204682
2020-04-03,34933.89,35011.14,34578.97,34871.99,403759
2020-04-06,34899.89,35585.03,34805.27,35061.67,126146
2020-04-07,34632.68,34728.89,34597.48,34724.02,264438
2020-04-08,34715.33,35170.02,34617.67,34912.77,108729
2020-04-09,35771.73,35802.97,35476.64,35727.59,120903
2020-04-10,35725.67,36283.9,35519.48,35708.39,392328
2020-04-13,36353.41,36763.66,35868.76,36556.37,488802
2020-04-14,35572.07,36146.61,34738.32,35147.7,145638
2020-04-15,35507.78,35776.51,35283.03,35583.7,324489
2020-04-16,35550.1,35992.14,35528.18,35630.2,444055
2020-04-17,35418.33,35524.78,35283.93,35470.75,132690
2020-04-20,35841.32,36225.59,34481.95,35519.61,166309
2020-04-21,34398.98,35169.25,33790.16,34476.27,318172
2020-04-22,34185.14,34370.0,33936.27,34362.86,422561
2020-04-23,34435.62,34567.76,34219.2,34547.42,203448
2020-04-24,35428.24,35599.26,34985.1,35321.83,402700
2020-04-27,34794.88,35081.6,34669.46,35048.3,280495
2020-04-28,34714.37,35020.93,34598.87,34625.83,315480
2020-04-29,34198.93,34368.05,33843.81,34366.2,252168
2020-04-30,34929.38,34968.95,34340.22,34841.34,214855
2020-05-01,35077.05,35557.05,34597.56,35013.57,258388
2020-05-04,34829.67,34853.3,34440.22,34736.44,163181
2020-05-05,35176.89,35407.77,34713.04,35004.91,462457
2020-05-06,34980.94,35173.28,34839.74,35055.92,173689
2020-05-07,35621.99,35893.04,35498.02,35568.99,346119
2020-05-08,34991.69,35204.91,34497.53,35196.39,486850
2020-05-11,35070.24,35086.03,34621.49,35023.82,166381
